MOTIVO_CURADORIA;NU_ANO_CENSO;CO_IES;NO_IES;CO_CURSO;NO_CURSO;MUNICIPIOS;MUNICIPIOS_SEM_MATRICULA;MAT_TOTAL_MUNICIPAL;MAT_MAIOR_MUNICIPIO;FRAC_MUNICIPIOS_ZERADOS;FRAC_NO_MAIOR_MUNICIPIO;PADRAO_ATIPICO;PRIORIDADE_SE_PUBLICAR_MAPA;DECISAO_CURADORIA;STATUS_VERIFICACAO_FONTE
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2023;167;UNIVERSIDADE METODISTA DE SÃO PAULO;1323047;Jogos Digitais;14;11;4.0;2.0;0.786;0.5;muitos municipios zerados;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2022;1422;CENTRO UNIVERSITÁRIO DO NORTE;1510916;Análise E Desenvolvimento De Sistemas;14;5;239.0;230.0;0.357;0.962;concentracao no maior municipio;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2021;15859;Faculdade Católica Paulista;1439413;Análise E Desenvolvimento De Sistemas;14;1;415.0;380.0;0.071;0.916;concentracao no maior municipio;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2022;15859;Faculdade Católica Paulista;1439413;Análise E Desenvolvimento De Sistemas;14;3;319.0;297.0;0.214;0.931;concentracao no maior municipio;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2022;712;CENTRO UNIVERSITÁRIO IBMR;1442970;Análise E Desenvolvimento De Sistemas;14;8;521.0;501.0;0.571;0.962;concentracao no maior municipio;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2024;167;UNIVERSIDADE METODISTA DE SÃO PAULO;1323047;Jogos Digitais;14;12;3.0;2.0;0.857;0.667;muitos municipios zerados;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2023;1060;CENTRO UNIVERSITÁRIO DO INSTITUTO DE EDUCAÇÃO SUPERIOR DE BRASÍLIA - IESB;1303431;Análise E Desenvolvimento De Sistemas;14;4;817.0;773.0;0.286;0.946;concentracao no maior municipio;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2023;338;PONTIFÍCIA UNIVERSIDADE CATÓLICA DE MINAS GERAIS;1550713;Sistemas De Informação;14;1;524.0;472.0;0.071;0.901;concentracao no maior municipio;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2013;1351;CENTRO UNIVERSITÁRIO TUPY;91519;GESTÃO DE SISTEMAS DE INFORMAÇÃO;14;9;9.0;5.0;0.643;0.556;muitos municipios zerados;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2021;5370;Centro Universitário Doctum de Teófilo Otoni;1551901;Redes De Computadores;13;12;1.0;1.0;0.923;1.0;muitos municipios zerados e concentracao;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2024;671;UNIVERSIDADE ANHANGUERA;1537691;Desenvolvimento Back-End;13;8;6.0;2.0;0.615;0.333;muitos municipios zerados;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2023;437;UNIVERSIDADE PARANAENSE;1565359;Desenvolvimento Mobile;13;10;3.0;1.0;0.769;0.333;muitos municipios zerados;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2022;1060;CENTRO UNIVERSITÁRIO DO INSTITUTO DE EDUCAÇÃO SUPERIOR DE BRASÍLIA - IESB;1542115;Big Data E Inteligência Analítica;13;7;78.0;71.0;0.538;0.91;concentracao no maior municipio;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2023;671;UNIVERSIDADE ANHANGUERA;1548209;Inteligência De Mercado E Análise De Dados;13;10;6.0;2.0;0.769;0.333;muitos municipios zerados;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2023;1508;Centro Universitário Metropolitano de Maringá;1457207;Engenharia De Software;13;8;43.0;39.0;0.615;0.907;muitos municipios zerados e concentracao;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2023;671;UNIVERSIDADE ANHANGUERA;1548027;Arquitetura De Dados;12;11;1.0;1.0;0.917;1.0;muitos municipios zerados e concentracao;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2021;4153;Centro Universitário Joaquim Nabuco de Recife;1536205;Game Design;12;8;5.0;2.0;0.667;0.4;muitos municipios zerados;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2022;387;UNIVERSIDADE CATÓLICA DOM BOSCO;1550198;Análise E Desenvolvimento De Sistemas;12;5;100.0;93.0;0.417;0.93;concentracao no maior municipio;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2020;385;UNIVERSIDADE SALVADOR;1484785;SISTEMAS PARA INTERNET;12;8;17.0;13.0;0.667;0.765;muitos municipios zerados;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2021;383;UNIVERSIDADE DA AMAZÔNIA;1486074;Service Design;11;8;4.0;2.0;0.727;0.5;muitos municipios zerados;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2020;718;UNIVERSIDADE POTIGUAR;1483734;REDES DE COMPUTADORES;11;7;24.0;16.0;0.636;0.667;muitos municipios zerados;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2022;926;Centro Universitário Anhanguera Pitágoras Unopar de Campo Grande;1576470;Arquitetura De Dados;11;7;9.0;4.0;0.636;0.444;muitos municipios zerados;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2023;15859;Faculdade Católica Paulista;1439413;Análise E Desenvolvimento De Sistemas;11;5;300.0;291.0;0.455;0.97;concentracao no maior municipio;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2023;17854;Centro Universitário Unifecaf;1527832;Computação Em Nuvem;11;7;8.0;5.0;0.636;0.625;muitos municipios zerados;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2024;5370;Centro Universitário Doctum de Teófilo Otoni;1525885;Análise E Desenvolvimento De Sistemas;11;8;182.0;175.0;0.727;0.962;muitos municipios zerados e concentracao;conferir os municipios no mapa;"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2024;2279;Centro Universitário Metrocamp Wyden;1556257;Análise E Desenvolvimento De Sistemas;11;1;281.0;264.0;0.091;0.94;concentracao no maior municipio;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2023;2497;CENTRO UNIVERSITÁRIO ATENEU;1473201;Análise E Desenvolvimento De Sistemas;11;3;126.0;117.0;0.273;0.929;concentracao no maior municipio;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2023;386;CENTRO UNIVERSITÁRIO DE GOIÁS;1491649;Análise E Desenvolvimento De Sistemas;10;2;308.0;284.0;0.2;0.922;concentracao no maior municipio;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2023;437;UNIVERSIDADE PARANAENSE;1565262;Big Data E Inteligência Analítica;10;6;8.0;4.0;0.6;0.5;muitos municipios zerados;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2023;165;UNIVERSIDADE VEIGA DE ALMEIDA;1452878;Gestão Da Tecnologia Da Informação;10;3;336.0;312.0;0.3;0.929;concentracao no maior municipio;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2024;1508;Centro Universitário Metropolitano de Maringá;1674223;Gestão Da Tecnologia Da Informação;10;6;8.0;4.0;0.6;0.5;muitos municipios zerados;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2024;165;UNIVERSIDADE VEIGA DE ALMEIDA;1452878;Gestão Da Tecnologia Da Informação;10;1;500.0;458.0;0.1;0.916;concentracao no maior municipio;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2024;165;UNIVERSIDADE VEIGA DE ALMEIDA;1452880;Sistemas De Informação;10;0;439.0;395.0;0.0;0.9;concentracao no maior municipio;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2023;430;CENTRO UNIVERSITÁRIO FILADÉLFIA;1635706;Ciência De Dados E Inteligência Artificial;10;7;25.0;23.0;0.7;0.92;muitos municipios zerados e concentracao;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2023;1422;CENTRO UNIVERSITÁRIO DO NORTE;1510916;Análise E Desenvolvimento De Sistemas;10;6;224.0;221.0;0.6;0.987;muitos municipios zerados e concentracao;conferir os municipios no mapa;"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2022;712;CENTRO UNIVERSITÁRIO IBMR;1545421;Ciência Da Computação;10;5;268.0;252.0;0.5;0.94;concentracao no maior municipio;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2023;338;PONTIFÍCIA UNIVERSIDADE CATÓLICA DE MINAS GERAIS;1551070;Sistemas Para Internet;10;3;95.0;87.0;0.3;0.916;concentracao no maior municipio;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2022;2950;Centro Universitário FADERGS;1457870;Ciência Da Computação;10;8;35.0;34.0;0.8;0.971;muitos municipios zerados e concentracao;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2021;4153;Centro Universitário Joaquim Nabuco de Recife;1536204;Service Design;10;7;3.0;1.0;0.7;0.333;muitos municipios zerados;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2021;1060;CENTRO UNIVERSITÁRIO DO INSTITUTO DE EDUCAÇÃO SUPERIOR DE BRASÍLIA - IESB;1542115;Big Data E Inteligência Analítica;10;5;71.0;67.0;0.5;0.944;concentracao no maior municipio;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2022;522;CENTRO UNIVERSITÁRIO CELSO LISBOA;1597179;Banco De Dados;10;6;14.0;11.0;0.6;0.786;muitos municipios zerados;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2023;1892;Centro Universitário de Excelência Eniac;1308555;Análise E Desenvolvimento De Sistemas;10;1;245.0;225.0;0.1;0.918;concentracao no maior municipio;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2016;403;UNIVERSIDADE CATÓLICA DE BRASÍLIA;106248;GESTÃO DA TECNOLOGIA DA INFORMAÇÃO;10;6;35.0;30.0;0.6;0.857;muitos municipios zerados;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2022;1805;CENTRO UNIVERSITÁRIO DOS GUARARAPES;1546429;Ciência Da Computação;9;4;135.0;123.0;0.444;0.911;concentracao no maior municipio;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2024;15859;Faculdade Católica Paulista;1439413;Análise E Desenvolvimento De Sistemas;9;5;203.0;199.0;0.556;0.98;concentracao no maior municipio;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2023;430;CENTRO UNIVERSITÁRIO FILADÉLFIA;1635390;Engenharia De Software;9;5;71.0;68.0;0.556;0.958;concentracao no maior municipio;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2024;671;UNIVERSIDADE ANHANGUERA;1548027;Arquitetura De Dados;9;8;2.0;2.0;0.889;1.0;muitos municipios zerados e concentracao;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2024;671;UNIVERSIDADE ANHANGUERA;1548209;Inteligência De Mercado E Análise De Dados;9;6;6.0;3.0;0.667;0.5;muitos municipios zerados;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2022;712;CENTRO UNIVERSITÁRIO IBMR;1546445;Redes De Computadores;9;5;108.0;103.0;0.556;0.954;concentracao no maior municipio;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2024;671;UNIVERSIDADE ANHANGUERA;1537693;Devops;9;6;7.0;3.0;0.667;0.429;muitos municipios zerados;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2021;1427;CENTRO UNIVERSITÁRIO DA SERRA GAÚCHA;1442602;Jogos Digitais;9;6;3.0;1.0;0.667;0.333;muitos municipios zerados;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2020;1538;CENTRO UNIVERSITARIO PROJEÇÃO;1419631;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;9;2;227.0;217.0;0.222;0.956;concentracao no maior municipio;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2021;712;CENTRO UNIVERSITÁRIO IBMR;1546445;Redes De Computadores;9;5;73.0;70.0;0.556;0.959;concentracao no maior municipio;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2022;1872;CENTRO UNIVERSITÁRIO SANTA CRUZ DE CURITIBA;1576051;Gestão Da Tecnologia Da Informação;9;6;8.0;6.0;0.667;0.75;muitos municipios zerados;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2023;387;UNIVERSIDADE CATÓLICA DOM BOSCO;1550198;Análise E Desenvolvimento De Sistemas;8;4;104.0;100.0;0.5;0.962;concentracao no maior municipio;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2023;338;PONTIFÍCIA UNIVERSIDADE CATÓLICA DE MINAS GERAIS;1575872;Gestão Da Tecnologia Da Informação;8;1;102.0;94.0;0.125;0.922;concentracao no maior municipio;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2023;437;UNIVERSIDADE PARANAENSE;1427780;Jogos Digitais;8;6;3.0;2.0;0.75;0.667;muitos municipios zerados;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2023;338;PONTIFÍCIA UNIVERSIDADE CATÓLICA DE MINAS GERAIS;1550797;Banco De Dados;8;0;184.0;167.0;0.0;0.908;concentracao no maior municipio;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2023;1427;CENTRO UNIVERSITÁRIO DA SERRA GAÚCHA;1599293;Coding;8;5;4.0;2.0;0.625;0.5;muitos municipios zerados;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2023;1759;Gran Centro Universitário;1662747;Banco De Dados;8;5;4.0;2.0;0.625;0.5;muitos municipios zerados;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2022;712;CENTRO UNIVERSITÁRIO IBMR;1484892;Big Data E Inteligência Analítica;8;5;95.0;93.0;0.625;0.979;muitos municipios zerados e concentracao;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2024;387;UNIVERSIDADE CATÓLICA DOM BOSCO;1550198;Análise E Desenvolvimento De Sistemas;8;2;113.0;107.0;0.25;0.947;concentracao no maior municipio;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2024;386;CENTRO UNIVERSITÁRIO DE GOIÁS;1491649;Análise E Desenvolvimento De Sistemas;8;1;239.0;225.0;0.125;0.941;concentracao no maior municipio;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2022;1255;Centro Universitário FBV Wyden;1521177;Análise E Desenvolvimento De Sistemas;8;0;509.0;499.0;0.0;0.98;concentracao no maior municipio;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2022;1805;CENTRO UNIVERSITÁRIO DOS GUARARAPES;1545626;Análise E Desenvolvimento De Sistemas;8;4;81.0;73.0;0.5;0.901;concentracao no maior municipio;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2023;1060;CENTRO UNIVERSITÁRIO DO INSTITUTO DE EDUCAÇÃO SUPERIOR DE BRASÍLIA - IESB;1438428;Redes De Computadores;8;2;76.0;70.0;0.25;0.921;concentracao no maior municipio;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2024;2950;Centro Universitário FADERGS;1429915;Análise E Desenvolvimento De Sistemas;8;1;161.0;147.0;0.125;0.913;concentracao no maior municipio;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2024;125;CENTRO UNIVERSITÁRIO DE ARARAS -;1655023;Análise E Desenvolvimento De Sistemas;8;5;8.0;6.0;0.625;0.75;muitos municipios zerados;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2024;17854;Centro Universitário Unifecaf;1502339;Engenharia Da Computação;8;7;215.0;215.0;0.875;1.0;muitos municipios zerados e concentracao;conferir os municipios no mapa;"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2024;671;UNIVERSIDADE ANHANGUERA;1537675;Desenvolvimento Mobile;8;7;1.0;1.0;0.875;1.0;muitos municipios zerados e concentracao;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2023;671;UNIVERSIDADE ANHANGUERA;1548262;Computação Em Nuvem;8;6;4.0;2.0;0.75;0.5;muitos municipios zerados;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
